id;vendor;type;enabled;rate;url
1;INFOBIP;Communications functionalities hard drive;true;30115;http://adelle.org
2;INFOBIP;turquoise payment Supervisor;false;66120;http://preston.org
3;INFOBIP;withdrawal Jewelery;true;36856;http://esmeralda.com
4;INFOBIP;Enhanced monitor;false;36397;https://hassan.info
5;INFOBIP;web-enabled;true;87194;http://concepcion.info
6;INFOBIP;Garden open-source payment;true;87465;https://barton.com
7;INFOBIP;Cambridgeshire;true;22228;http://berniece.name
8;INFOBIP;Danish Krone Turkmenistan alarm;false;98363;http://abel.org
9;INFOBIP;Wooden Ergonomic Steel Computer alarm;true;80495;https://oren.org
10;INFOBIP;neural;true;31849;https://gabe.name
